Name,City,Latitude,Longitude,Group,Value
Barry,Bucks,31.0069,-88.0103,Coal,1118.5
E C Gaston,Wilsonville,33.244211,-86.458056,Coal,832.0
Dolet Hills,Mansfield,32.030556,-93.56916700000001,Coal,642.5
Charles R Lowman,Leroy,31.488019,-87.910747,Coal,554.0
Platte,Grand Island,40.854765,-98.34822199999999,Coal,100.0
Whelan Energy Center,Hastings,40.580872,-98.312437,Coal,309.0
Aurora Energy LLC Chena,Fairbanks,64.84774300000001,-147.735063,Coal,25.7
Escalante,Prewitt,35.4159,-108.08200000000001,Coal,253.0
Holcomb,Holcomb,37.9308,-100.9725,Coal,358.8
Cholla,Joseph City,34.9394,-110.3033,Coal,767.0
Oklaunion,Oklaunion,34.0825,-99.1753,Coal,650.0
Cross,Cross,33.371506,-80.113235,Coal,2350.0
Seminole (FL),Palatka,29.733056,-81.632778,Coal,1309.0
Apache Station,Cochise,32.0603,-109.8931,Coal,175.0
GREC,Chouteau,36.190278,-95.2894,Coal,492.0
Limestone,Jewett,31.4219,-96.2525,Coal,1689.0
Comanche (CO),Pueblo,38.2081,-104.5747,Coal,1410.0
Martin Drake,Colorado Springs,38.824444,-104.833333,Coal,208.0
Hayden,Hayden,40.4856,-107.185,Coal,441.0
Nucla,Nucla,38.2383,-108.5069,Coal,100.0
Stanton Energy Center,Orlando,28.4822,-81.1678,Coal,896.0
Bridgeport Station,Bridgeport,41.1706,-73.1844,Coal,383.4
Indian River Generating Station,Dagsboro,38.5857,-75.2341,Coal,410.0
Brandon Shores,Baltimore,39.18,-76.5389,Coal,1273.0
Crystal River,Crystal River,28.9656,-82.6977,Coal,1422.0
Crist,Pensacola,30.5661,-87.2244,Coal,924.0
Big Bend,Apollo Beach,27.7944,-82.4036,Coal,1602.0
Deerhaven Generating Station,Gainesville,29.7592,-82.3878,Coal,232.0
Northside Generating Station,Jacksonville,30.4172,-81.5525,Coal,586.0
C D McIntosh Jr,Lakeland,28.0801,-81.9229,Coal,342.0
Bowen,Cartersville,34.1256,-84.9222,Coal,3232.0
E D Edwards,Bartonville,40.5958,-89.6631,Coal,560.0
Kincaid Generation LLC,Kincaid,39.590556,-89.49638900000001,Coal,1108.0
Powerton,Pekin,40.5408,-89.6786,Coal,1538.0
Waukegan,Waukegan,42.3833,-87.8133,Coal,689.0
Will County,Romeoville,41.6334,-88.0629,Coal,510.0
Joppa Steam,Joppa,37.2094,-88.858889,Coal,948.0
Baldwin Energy Complex,Baldwin,38.205,-89.8544,Coal,1778.0
Dallman,Springfield,39.754803,-89.602389,Coal,534.0
Marion,Marion,37.619747,-88.953114,Coal,290.0
Clifty Creek,Madison,38.7378,-85.4206,Coal,1173.0
AES Petersburg,Petersburg,38.5281,-87.2525,Coal,1701.5
Michigan City,Michigan City,41.7208,-86.9086,Coal,455.0
Cayuga,Cayuga,39.9242,-87.4244,Coal,995.0
Edwardsport,Edwardsport,38.8067,-87.2472,Coal,595.0
R Gallagher,New Albany,38.2636,-85.8381,Coal,280.0
F B Culley,Newburgh,37.9111,-87.3275,Coal,360.0
Crawfordsville Power Plant,Crawfordsville,40.048889,-86.8992,Coal,23.2
Whitewater Valley,RICHMOND,39.8028,-84.8953,Coal,99.7
Lansing,Lansing,43.3359,-91.1675,Coal,247.8
Prairie Creek,Cedar Rapids,41.944039000000004,-91.639167,Coal,30.0
Walter Scott Jr Energy Center,Council Bluffs,41.18,-95.8408,Coal,1514.4
George Neal North,Sergeant Bluff,42.299794,-96.361707,Coal,510.1
Burlington (IA),Burlington,40.7412,-91.116667,Coal,197.7
Muscatine Plant #1,Muscatine,41.3917,-91.0569,Coal,227.2
La Cygne,La Cygne,38.3481,-94.6456,Coal,1408.0
Lawrence Energy Center,Lawrence,39.0072,-95.26916700000001,Coal,484.0
E W Brown,Harrodsburg,37.788309999999996,-84.71257,Coal,409.0
Ghent,Ghent,38.7497,-85.035,Coal,1919.0
Mill Creek (KY),Louisville,38.0525,-85.9103,Coal,1465.0
Elmer Smith,Owensboro,37.7942,-87.0608,Coal,399.8
Shawnee,West Paducah,37.1517,-88.775,Coal,1206.0
Kenneth C Coleman,Hawesville,37.9631,-86.7911,Coal,443.0
Robert A Reid,Robards,37.6461,-87.5019,Coal,65.0
Cooper,Somerset,36.9981,-84.5919,Coal,341.0
R S Nelson,Westlake,30.2844,-93.2911,Coal,550.0
Herbert A Wagner,Baltimore,39.1781,-76.5268,Coal,423.0
Chalk Point LLC,Aquasco,38.5444,-76.6861,Coal,670.0
Dickerson,Dickerson,39.2097,-77.4644,Coal,519.0
Morgantown Generating Plant,Newburg,38.3592,-76.9767,Coal,1205.0
Dan E Karn,Essexville,43.644996,-83.840074,Coal,515.0
J H Campbell,West Olive,42.910296,-86.20074,Coal,1446.0
Monroe (MI),Monroe,41.8906,-83.3464,Coal,3066.0
River Rouge,River Rouge,42.2739,-83.1119,Coal,272.0
St Clair,East China Twp,42.7642,-82.4719,Coal,1065.0
Trenton Channel,Trenton,42.1217,-83.1808,Coal,495.0
J B Sims,Grand Haven,43.0706,-86.235,Coal,69.1
Eckert Station,Lansing,42.71839,-84.55808,Coal,189.9
Erickson Station,Lansing,42.692221999999994,-84.65722199999999,Coal,154.5
Clay Boswell,Cohasset,47.2611,-93.6528,Coal,947.8
Allen S King,Oak Park Heights,45.03,-92.7786,Coal,511.0
Hoot Lake,Fergus Falls,46.290641,-96.043252,Coal,138.0
Hibbing,Hibbing,47.4294,-92.935,Coal,30.5
Asbury,Asbury,37.361315000000005,-94.58926,Coal,198.0
Hawthorn,Kansas City,39.1306,-94.4778,Coal,564.0
Labadie,Labadie,38.562244,-90.837686,Coal,2372.0
Meramec,St. Louis,38.4017,-90.3358,Coal,594.0
Sioux,West Alton,38.915479,-90.290247,Coal,974.0
New Madrid,New Madrid,36.5147,-89.5617,Coal,1154.0
Thomas Hill,Clifton Hill,39.5522,-92.6381,Coal,1134.0
Lon Wright,Fremont,41.4281,-96.4623,Coal,118.5
Sheldon,Hallam,40.5589,-96.7847,Coal,219.0
North Omaha,Omaha,41.32909,-95.94466,Coal,336.3
Merrimack,Bow,43.1411,-71.4692,Coal,438.5
Schiller,Portsmouth,43.0978,-70.7842,Coal,95.4
Four Corners,Fruitland,36.69,-108.4814,Coal,1540.0
San Juan,Waterflow,36.8006,-108.4386,Coal,847.0
Cayuga Operating Company,Lansing,42.6028,-76.6336,Coal,293.5
Dunkirk Generating Plant,Dunkirk,42.491467,-79.346631,Coal,520.0
Roxboro,Semora,36.4833,-79.0731,Coal,2439.0
G G Allen,Belmont,35.1897,-81.0122,Coal,1098.0
James E. Rogers Energy Complex,Cliffside,35.22,-81.7594,Coal,1388.0
Marshall (NC),Terrell,35.5975,-80.9658,Coal,2058.0
R M Heskett,Mandan,46.8669,-100.8836,Coal,104.3
Leland Olds,Stanton,47.280769,-101.321213,Coal,667.0
Milton R Young,Center,47.065853999999995,-101.213093,Coal,684.0
Cardinal,Brillant,40.2522,-80.6486,Coal,1790.0
Miami Fort,North Bend,39.1128,-84.8036,Coal,1020.0
Avon Lake,Avon Lake,41.504453000000005,-82.05461899999999,Coal,615.0
Conesville,Conesville,40.1842,-81.8811,Coal,780.0
FirstEnergy W H Sammis,Stratton,40.5317,-80.6319,Coal,2210.0
Kyger Creek,Cheshire,38.9144,-82.1289,Coal,962.8
Dover,Dover,40.520066,-81.46815,Coal,23.2
Orrville,Orrville,40.850964000000005,-81.765764,Coal,55.5
Painesville,Painesville,41.7265,-81.25399999999999,Coal,47.0
Muskogee,Fort Gibson,35.76135,-95.28732,Coal,503.0
Northeastern,Oologah,36.4317,-95.7008,Coal,460.0
Conemaugh,New Florence,40.3842,-79.0611,Coal,1700.0
Homer City Generating Station,Homer City,40.512825,-79.196107,Coal,1895.0
Seward (PA),New Florence,40.40625,-79.03366,Coal,521.0
Keystone,Shelocta,40.6604,-79.3411,Coal,1700.0
Brunner Island,York Haven,40.096111,-76.6962,Coal,742.0
TalenEnergy Montour,Washingtonville,41.0714,-76.6672,Coal,1504.0
Wateree,Eastover,33.8264,-80.6228,Coal,684.0
Williams,Goose Creek,33.0158,-79.9297,Coal,605.0
Bull Run,Clinton,36.0211,-84.1567,Coal,870.0
Cumberland (TN),Cumberland City,36.3903,-87.6539,Coal,2470.0
Gallatin (TN),Gallatin,36.3156,-86.4006,Coal,976.0
Kingston,Kingston,35.8992,-84.5194,Coal,1398.0
W A Parish,Thompsons,29.4828,-95.6311,Coal,2499.0
Chesterfield,Chester,37.3822,-77.3833,Coal,1006.0
Transalta Centralia Generation,Centralia,46.755938,-122.85976399999998,Coal,1340.0
John E Amos,St Albans,38.4731,-81.8233,Coal,2900.0
FirstEnergy Fort Martin Power Station,Maidsville,39.710833,-79.9275,Coal,1098.0
FirstEnergy Harrison Power Station,Haywood,39.384167,-80.3325,Coal,1954.0
Mitchell (WV),Captina,39.8297,-80.8153,Coal,1560.0
Mt Storm,Mount Storm,39.2008,-79.2636,Coal,1629.0
South Oak Creek,Oak Creek,42.8457,-87.8294,Coal,1096.7
Edgewater,Sheboygan,43.715142,-87.705863,Coal,413.6
Weston,Rothschild,44.8606,-89.6553,Coal,878.9
Genoa,Genoa,43.5589,-91.2325,Coal,307.5
Dave Johnston,Glen Rock,42.8378,-105.7769,Coal,760.0
Naughton,Kemmerer,41.7581,-110.5983,Coal,687.0
John P Madgett,Alma,44.303583,-91.91264699999999,Coal,389.8
James H Miller Jr,Quinton,33.6319,-87.0597,Coal,2779.8
FirstEnergy Pleasants Power Station,Willow Island,39.366667,-81.294444,Coal,1288.0
White Bluff,Redfield,34.4228,-92.1406,Coal,1636.7
Newton,Newton,38.9361,-88.2781,Coal,595.0
East Bend,Union,38.9036,-84.8514,Coal,600.0
W H Zimmer,Moscow,38.8675,-84.2289,Coal,1305.0
Craig (CO),Craig,40.4627,-107.5912,Coal,1285.0
Coal Creek,Underwood,47.377743,-101.15705799999999,Coal,1146.5
Belle River,China Twp,42.7756,-82.495,Coal,1270.0
H L Spurlock,Maysville,38.7,-83.8181,Coal,1346.0
Wansley,Roopville,33.41342,-85.032329,Coal,1744.0
Big Cajun 2,New Roads,30.7261,-91.3692,Coal,1148.0
Nearman Creek,Kansas,39.1681,-94.6975,Coal,240.0
Iatan,Weston,39.4472,-94.98,Coal,1597.5
Jeffrey Energy Center,St. Mary's,39.286453,-96.117231,Coal,2189.0
Trimble County,Bedford,38.5847,-85.4117,Coal,1243.0
Victor J Daniel Jr,Escatawpa,30.5322,-88.5553,Coal,1004.0
Colstrip,Colstrip,45.8831,-106.61399999999999,Coal,1480.0
Gerald Gentleman,Sutherland,41.0808,-101.1408,Coal,1365.0
Somerset Operating Co LLC,Barker,43.358889000000005,-78.604722,Coal,685.9
R M Schahfer,Wheatfield,41.2164,-87.0261,Coal,1625.0
Lewis & Clark,Richland,47.6785,-104.15665,Coal,53.1
Sherburne County,Becker,45.3808,-93.8931,Coal,2238.0
Sooner,Red Rock,36.453070000000004,-97.05279,Coal,1040.0
Nebraska City,Nebraska City,40.6214,-95.7764,Coal,1345.3
Big Stone,Big Stone City,45.303652,-96.510067,Coal,474.0
Wyodak,Gillette,44.290128,-105.381482,Coal,332.0
Boardman,Boardman,45.693182,-119.808819,Coal,585.0
Gibson,Owensville,38.372222,-87.765833,Coal,3132.0
A B Brown,Mount Vernon,37.9053,-87.715,Coal,490.0
Flint Creek,Gentry,36.2561,-94.5241,Coal,528.0
Welsh,Pittsburg,33.05522,-94.839993,Coal,1056.0
Martin Lake,Tatum,32.2606,-94.5706,Coal,2410.0
Rush Island,Festus,38.131248,-90.26315699999999,Coal,1178.0
Hunter,Castle Dale,39.1747,-111.0289,Coal,1361.0
Rockport,Rockport,37.9256,-87.0372,Coal,2600.0
Coronado,St Johns,34.5789,-109.2708,Coal,762.0
Coleto Creek,Fannin,28.7128,-97.214167,Coal,655.0
Fayette Power Project,La Grange,29.9172,-96.7506,Coal,1615.0
Oak Grove (TX),Franklin,31.1803,-96.4866,Coal,1710.0
J T Deely,San Antonio,29.308056,-98.3228,Coal,840.0
San Miguel,Christine,28.7044,-98.4775,Coal,391.0
Brame Energy Center,Lena,31.395,-92.716667,Coal,493.2
Harrington,Amarillo,35.298159999999996,-101.747187,Coal,1018.0
Tolk,Muleshoe,34.186494,-102.56999,Coal,1067.0
John Twitty Energy Center,Springfield,37.151706,-93.38804,Coal,459.0
Laramie River Station,Wheatland,42.108889000000005,-104.8825,Coal,1710.0
Merom,Sullivan,39.0694,-87.5108,Coal,991.0
Pawnee,Brush,40.2217,-103.6803,Coal,505.0
Winyah,Georgetown,33.33184,-79.357236,Coal,1130.0
Mayo,Roxboro,36.5278,-78.8917,Coal,727.0
Ottumwa,Ottumwa,41.0961,-92.55583299999999,Coal,725.4
Scherer,Juliette,33.0606,-83.8075,Coal,3440.0
Mountaineer,New Haven,38.9794,-81.9344,Coal,1299.0
Healy,Healy,63.8542,-148.95,Coal,75.0
Antelope Valley,Beulah,47.370542,-101.83566,Coal,900.0
Intermountain Power Project,Delta,39.509731,-112.58018,Coal,1800.0
R D Green,Robards,37.6461,-87.5,Coal,454.0
Independence Steam Electric Station,Newark,35.678442,-91.408761,Coal,1651.4
Louisa,Muscatine,41.3181,-91.0931,Coal,748.8
Warrick,Newburgh,37.915,-87.3328,Coal,708.9
Rawhide,Wellington,40.860904999999995,-105.021207,Coal,280.0
Sikeston Power Station,Sikeston,36.8791,-89.6209,Coal,240.0
Hugo,Fort Towson,34.0158,-95.3206,Coal,440.0
D B Wilson,Centertown,37.4497,-87.0806,Coal,417.0
Major Oak Power,Bremond,31.091925,-96.69503,Coal,305.0
J K Spruce,San Antonio,29.309721999999997,-98.3203,Coal,1345.0
Cope,Cope,33.3644,-81.03,Coal,415.0
Clover,Clover,36.869,-78.704,Coal,877.0
Polk,Mulberry,27.7286,-81.9897,Coal,161.0
George Neal South,Salix,42.3006,-96.3617,Coal,643.6
Neil Simpson II,Gillette,44.2856,-105.3833,Coal,80.0
Bonanza,Vernal,40.0864,-109.2844,Coal,458.0
Pirkey,Hallsville,32.4607,-94.4852,Coal,675.0
Columbia (WI),Pardeville,43.4864,-89.4203,Coal,1137.4
Belews Creek,Belews Creek,36.2811,-80.0603,Coal,2220.0
Jim Bridger,Point of Rocks,41.7378,-108.7875,Coal,2111.0
Huntington,Huntington,39.3792,-111.0781,Coal,909.0
"Gavin Power, LLC",Cheshire,38.9347,-82.1158,Coal,2680.0
Ray D Nixon,Fountain,38.633451,-104.70577,Coal,208.0
Coyote,Beulah,47.221447,-101.815722,Coal,429.0
Springerville,Springerville,34.3186,-109.1639,Coal,1625.0
North Valmy,Valmy,40.881316999999996,-117.151605,Coal,522.0
Cheswick Power Plant,Cheswick,40.5383,-79.7906,Coal,565.0
"RED-Rochester, LLC",Rochester,43.1989,-77.6319,Coal,132.1
Logan Generating Plant,Swedesboro,39.7928,-75.406667,Coal,219.0
Taconite Harbor Energy Center,Schroeder,47.5314,-90.9114,Coal,154.9
John B Rich Memorial Power Station,Frackville,40.7903,-76.1983,Coal,80.0
Colver Power Project,Colver,40.55,-78.8,Coal,110.0
Grant Town Power Plant,Grant Town,39.561831,-80.163138,Coal,80.0
Biron Mill,Wisconsin Rapids,44.43,-89.78,Coal,35.3
Foster Wheeler Mt Carmel Cogen,Marion Heights,40.811189,-76.452951,Coal,43.0
Amalgamated Sugar Twin Falls,Twin Falls,42.5328,-114.4328,Coal,8.5
Chambers Cogeneration LP,Carneys Point,39.693494,-75.485811,Coal,244.0
Ebensburg Power,Ebensburg,40.455,-78.7472,Coal,50.0
River Valley,Panama,35.1931,-94.6458,Coal,320.0
AES Hawaii,Kapolei,21.303419,-158.106528,Coal,180.0
AES Warrior Run Cogeneration Facility,Cumberland,39.595171,-78.745333,Coal,180.0
Argus Cogen Plant,Trona,35.765,-117.3833,Coal,57.0
Morgantown Energy Facility,Morgantown,39.6397,-79.96055600000001,Coal,50.0
Colstrip Energy LP,Colstrip,45.9752,-106.6547,Coal,38.0
Silver Bay Power,Silver Bay,47.286573,-91.260531,Coal,105.0
Archer Daniels Midland Clinton,Clinton,41.8206,-90.2097,Coal,180.0
Archer Daniels Midland Des Moines,Des Moines,41.624438,-93.584515,Coal,7.9
Archer Daniels Midland Lincoln,Lincoln,40.866463,-96.614486,Coal,7.9
Archer Daniels Midland Mankato,Mankato,44.187065999999994,-93.99242,Coal,6.2
Archer Daniels Midland Cedar Rapids,Cedar Rapids,41.9221,-91.6875,Coal,260.0
Archer Daniels Midland Decatur,Decatur,39.870074,-88.89075600000001,Coal,335.0
Tate & Lyle Decatur Plant Cogen,Decatur,39.84919,-88.931944,Coal,62.0
Canton North Carolina,Canton,35.535,-82.8411,Coal,52.5
Utility Plants Section,Fort Wainwright,64.825601,-147.648627,Coal,23.0
University of Notre Dame,Notre Dame,41.7094,-86.2367,Coal,16.4
Eielson AFB Central Heat & Power Plant,Eielson AFB,64.67141,-147.075988,Coal,20.0
Pixelle Specialty Solutions LLC - Spring Grove Facility,Spring Grove,39.870934999999996,-76.868117,Coal,36.1
Tennessee Eastman Operations,Kingsport,36.5219,-82.5431,Coal,131.3
Westwood Generation LLC,Tremont,40.6191,-76.45,Coal,30.0
University of Alaska Fairbanks,Fairbanks,64.854171,-147.822075,Coal,9.1
Panther Creek Energy Facility,Nesquehoning,40.8556,-75.8781,Coal,83.0
TES Filer City Station,Filer City,44.217299,-86.28905,Coal,60.0
Wheelabrator Frackville Energy,Frackville,40.782377000000004,-76.17618399999999,Coal,42.5
Northampton Generating Company LP,Northampton,40.6917,-75.4792,Coal,112.0
Covington Facility,Covington,37.799721999999996,-79.9947,Coal,43.0
Rhinelander Mill,Rhinelander,45.6394,-89.4205,Coal,6.3
Sunnyside Cogen Associates,Sunnyside,39.5472,-110.3917,Coal,51.0
Scrubgrass Generating Plant,Kennerdell,41.2691,-79.8134,Coal,84.6
Indiantown Cogeneration LP,Indiantown,27.0389,-80.5125,Coal,330.0
Spruance Operating Services LLC,Richmond,37.4556,-77.4308,Coal,105.0
Kaukauna Paper Mill,Kaukauna,44.2826,-88.2534,Coal,12.0
Iowa State University,Ames,42.0275,-93.6394,Coal,46.2
American Crystal Sugar Hillsboro,Hillsboro,47.437562,-97.06311,Coal,13.3
American Crystal Sugar Moorhead,Moorhead,46.9026,-96.76111999999999,Coal,5.0
American Crystal Sugar Crookston,Crookston,47.76468,-96.633375,Coal,6.5
American Crystal Sugar Drayton,Drayton,48.593158,-97.17608,Coal,6.0
American Crystal Sugar East Grand Forks,East Grand Forks,47.927202,-97.007153,Coal,7.5
Univ of NC Chapel Hill Cogen Facility,Chapel Hill,35.9069,-79.0617,Coal,28.7
Birchwood Power,King George,38.2667,-77.3147,Coal,237.9
General Chemical,Green River,41.5933,-109.7542,Coal,30.0
Southern Minnesota Beet Sugar,Renville,44.796405,-95.179787,Coal,7.5
Ingredion Incorporated,Bedford Park,41.7775,-87.8233,Coal,42.2
St Nicholas Cogen Project,Shenandoah,40.8222,-76.1736,Coal,86.0
University of Iowa Main Power Plant,Iowa City,41.6572,-91.54,Coal,21.0
Neenah Paper Munising Mill,Munising,46.4094,-86.6443,Coal,5.8
Red Hills Generating Facility,Ackerman,33.3761,-89.2183,Coal,440.0
Wygen 1,Gillette,44.2858,-105.3833,Coal,85.0
Hardin Generator Project,Hardin,45.7578,-107.6,Coal,107.0
Prairie State Generating Station,Marissa,38.279167,-89.666944,Coal,1630.0
Elm Road Generating Station,Oak Creek,42.8492,-87.8336,Coal,1263.3
TS Power Plant,Battle Mountain,40.7461,-116.5297,Coal,218.4
Wygen 2,Gillette,44.2919,-105.3811,Coal,90.0
Plum Point Energy Station,Osceola,35.6644,-89.9489,Coal,680.0
John W Turk Jr Power Plant,Fulton,33.649722,-93.811944,Coal,650.0
Wygen III,Gillette,44.2919,-105.3806,Coal,100.0
Dry Fork Station,Gillette,44.388889,-105.46083300000001,Coal,380.0
Sandy Creek Energy Station,Riesel,31.474378,-96.957149,Coal,932.6
Longview Power Plant,Maidsville,39.707893,-79.958974,Coal,710.0
Spiritwood Station,Spiritwood,46.926423,-98.499713,Coal,92.3
Virginia City Hybrid Energy Center,St. Paul,36.916389,-82.33805500000001,Coal,610.0
Archer Daniels Midland Columbus,Columbus,41.416441999999996,-97.286328,Coal,61.0
Sidney MT Plant,Sidney,47.717222,-104.13555600000001,Coal,4.0
Genesis Alkali,Green River,41.621666999999995,-109.811944,Coal,41.0
SIUC,Carbondale,37.711944,-89.215,Coal,2.8
Western Sugar Coop - Scottsbluff,Scottsbluff,41.85887,-103.63438000000001,Coal,5.0
Wausau Paper Middletown,Middletown,39.519989,-84.406153,Coal,7.5
Western Sugar Coop- Ft Morgan,Fort Morgan,40.263000000000005,-103.8069,Coal,3.0
AES Puerto Rico,Guayama,17.947115,-66.149897,Coal,454.4
Western Sugar Cooperative - Billings,Billings,45.765346,-108.499232,Coal,1.5
Barry,Bucks,31.0069,-88.0103,Natural_gas,1268.4
Gadsden,Gadsden,34.0128,-85.9708,Natural_gas,130.0
Copper,El Paso,31.7569,-106.375,Natural_gas,63.0
Greene County,Demopolis,32.6017,-87.7811,Natural_gas,1256.1
E C Gaston,Wilsonville,33.244211,-86.458056,Natural_gas,1020.0
Madelia,City of Madelia,44.0501,-94.4178,Natural_gas,10.3
Colbert,Tuscumbia,34.7439,-87.8486,Natural_gas,363.2
J K Smith,Winchester,37.8833,-84.1017,Natural_gas,784.0
Anchorage 1,Anchorage,61.2221,-149.8661,Natural_gas,60.4
Beluga,Beluga,61.1861,-151.0356,Natural_gas,300.4
Frederickson,Tacoma,47.079722,-122.365,Natural_gas,134.0
Ocotillo,Tempe,33.4225,-111.9122,Natural_gas,623.5
West Phoenix,Phoenix,33.4417,-112.1583,Natural_gas,920.0
Saguaro,Red Rock,32.5517,-111.3,Natural_gas,176.0
Yucca,Yuma,32.7214,-114.7106,Natural_gas,257.0
Demoss Petrie,Tucson,32.252272999999995,-110.992148,Natural_gas,75.0
H Wilson Sundt Generating Station,Tucson,32.16,-110.9047,Natural_gas,399.0
Agua Fria,Glendale,33.5561,-112.2153,Natural_gas,626.0
Kyrene,Tempe,33.3556,-111.9353,Natural_gas,525.0
McClure,Modesto,37.62936,-120.93139,Natural_gas,53.5
Apache Station,Cochise,32.0603,-109.8931,Natural_gas,373.5
GREC,Chouteau,36.190278,-95.2894,Natural_gas,507.5
Lake Catherine,Jones Mill,34.4341,-92.9049,Natural_gas,522.0
Thomas Fitzhugh,Ozark,35.462382,-93.804926,Natural_gas,162.0
Carl Bailey,Augusta,35.260102,-91.363426,Natural_gas,122.0
McClellan (AR),Camden,33.5648,-92.7917,Natural_gas,134.0
Humboldt Bay,Eureka,40.7415,-124.2103,Natural_gas,163.4
Dynegy Moss Landing Power Plant,Moss Landing,36.804837,-121.78224099999998,Natural_gas,1020.0
AES Alamitos LLC,Long Beach,33.7688,-118.1009,Natural_gas,1152.0
AES Huntington Beach LLC,Huntington Beach,33.6439,-117.9792,Natural_gas,225.8
Long Beach Generation LLC,Long Beach,33.7641,-118.2248,Natural_gas,260.0
Ormond Beach,Oxnard,34.1292,-119.1689,Natural_gas,1491.0
AES Redondo Beach LLC,Redondo Beach,33.8504,-118.395,Natural_gas,830.0
Mountainview Generating Station,Redlands,34.0818,-117.2418,Natural_gas,972.0
Grayson,Glendale,34.1556,-118.2782,Natural_gas,238.0
Joliet 29,Joliet,41.494636,-88.123827,Natural_gas,1036.0
El Centro Hybrid,El Centro,32.802222,-115.54,Natural_gas,314.0
Harbor,Wilmington,33.7706,-118.2656,Natural_gas,439.0
Haynes,Long Beach,33.764741,-118.09913,Natural_gas,1595.4
Scattergood,Playa del Rey,33.918151,-118.427648,Natural_gas,783.1
Valley (CA),Sun Valley,34.244991,-118.391327,Natural_gas,576.0
Glenarm,Pasadena,34.126,-118.1494,Natural_gas,235.6
Alamosa,Alamosa,37.4594,-105.8947,Natural_gas,27.0
Cherokee,Denver,39.807275,-104.964548,Natural_gas,886.0
Fruita,Grand Junction,39.1364,-108.7347,Natural_gas,14.0
Valmont,Boulder,40.0195,-105.20200000000001,Natural_gas,43.0
George Birdsall,Colorado Springs,38.881389,-104.81694399999999,Natural_gas,55.0
Trinidad (CO),Trinidad,37.178979,-104.487492,Natural_gas,3.8
McWilliams,Gantt,31.400254999999998,-86.476449,Natural_gas,663.0
McClellan (CA),Sacramento,38.652731,-121.393336,Natural_gas,77.0
Kettle Falls Generating Station,Kettle Falls,48.620336,-118.11105900000001,Natural_gas,6.2
Middletown,Middletown,41.554944,-72.579075,Natural_gas,353.0
Stanton Energy Center,Orlando,28.4822,-81.1678,Natural_gas,295.0
Bridgeport Station,Bridgeport,41.1706,-73.1844,Natural_gas,576.3
Edge Moor,Wilmington,39.738859999999995,-75.50384,Natural_gas,710.0
McKee Run,Dover,39.176221999999996,-75.546628,Natural_gas,103.1
Fredonia,Mt Vernon,48.4558,-122.4358,Natural_gas,280.0
Cape Canaveral,Cocoa,28.4698,-80.7644,Natural_gas,1290.0
Fort Myers,Ft. Myers,26.6967,-81.7831,Natural_gas,2638.0
Lauderdale,Ft. Lauderdale,26.0686,-80.1984,Natural_gas,1223.6
Port Everglades,Ft. Lauderdale,26.0856,-80.1253,Natural_gas,1237.0
Riviera,Riviera Beach,26.7653,-80.0525,Natural_gas,1290.0
Sanford,DeBary,28.8419,-81.3256,Natural_gas,2205.0
Turkey Point,Homestead,25.4356,-80.3308,Natural_gas,1253.0
Avon Park,Avon Park,27.579444,-81.492778,Natural_gas,24.0
Crystal River,Crystal River,28.9656,-82.6977,Natural_gas,1632.0
P L Bartow,St. Petersburg,27.859534999999997,-82.601759,Natural_gas,1190.0
Suwannee River,Live Oak,30.376389,-83.18055600000001,Natural_gas,99.0
Lansing Smith,Southport,30.2686,-85.7003,Natural_gas,511.0
Big Bend,Apollo Beach,27.7944,-82.4036,Natural_gas,56.0
Deerhaven Generating Station,Gainesville,29.7592,-82.3878,Natural_gas,185.0
John R Kelly,Gainesville,29.6461,-82.3208,Natural_gas,108.0
G W Ivey,Homestead,25.4756,-80.47,Natural_gas,32.6
J D Kennedy,Jacksonville,30.364818,-81.625967,Natural_gas,317.2
Northside Generating Station,Jacksonville,30.4172,-81.5525,Natural_gas,524.0
Tom G Smith,Lake Worth,26.612766999999998,-80.0677,Natural_gas,57.5
Larsen Memorial,Lakeland,28.0797,-81.9228,Natural_gas,124.0
C D McIntosh Jr,Lakeland,28.0801,-81.9229,Natural_gas,460.0
Indian River Plant,Titusville,28.493232,-80.780124,Natural_gas,290.0
Arvah B Hopkins,Tallahassee,30.4522,-84.4,Natural_gas,466.0
